county,population
"Calloway,KY",37685
"Campbell,KY",93300
"Carlisle,KY",4720
"Carroll,KY",10938
"Carter,KY",26395
"Casey,KY",15920
"Christian,KY",73037
"Clark,KY",37061
"Clay,KY",19913
"Clinton,KY",9123
"Crittenden,KY",8981
"Cumberland,KY",5946
"Daviess,KY",103222
"Edmonson,KY",12269
"Elliott,KY",7293
"Estill,KY",14044
"Fayette,KY",320347
"Fleming,KY",15288
"Floyd,KY",34978
"Franklin,KY",51607
"Fulton,KY",6382
"Gallatin,KY",8763
"Garrard,KY",17589
"Grant,KY",25502
"Graves,KY",36412
"Grayson,KY",26631
"Green,KY",11365
"Greenup,KY",35403
"Hancock,KY",9021
"Hardin,KY",111862
"Harlan,KY",25662
"Harrison,KY",19103
"Hart,KY",19600
"Henderson,KY",44046
"Henry,KY",15771
"Hickman,KY",4422
"Hopkins,KY",44812
"Jackson,KY",12973
"Jefferson,KY",773399
"Jessamine,KY",54254
"Johnson,KY",22244
"Kenton,KY",170313
"Knott,KY",13874
"Knox,KY",29791
"Larue,KY",15163
"Laurel,KY",62885
"Lawrence,KY",16109
"Lee,KY",7261
"Leslie,KY",10093
"Letcher,KY",20893
"Lewis,KY",12954
"Lincoln,KY",24360
"Livingston,KY",8963
"Logan,KY",27877
"Lyon,KY",9101
"McCracken,KY",67490
"McCreary,KY",16701
"McLean,KY",9105
"Madison,KY",95187
"Magoffin,KY",11357
"Marion,KY",19775
"Marshall,KY",31777
"Martin,KY",11095
"Mason,KY",16930
"Meade,KY",30001
"Menifee,KY",6250
"Mercer,KY",22902
"Metcalfe,KY",10370
"Monroe,KY",11355
"Montgomery,KY",28367
"Morgan,KY",14120
"Muhlenberg,KY",30455
"Nelson,KY",47392
"Nicholas,KY",7805
"Ohio,KY",23527
"Oldham,KY",69431
"Owen,KY",11290
"Owsley,KY",3929
"Pendleton,KY",14676
"Perry,KY",27361
"Pike,KY",56286
"Powell,KY",13083
"Pulaski,KY",65795
"Robertson,KY",2229
"Rockcastle,KY",16242
"Rowan,KY",24388
"Russell,KY",18178
"Scott,KY",59099
"Shelby,KY",48886
"Simpson,KY",19949
"Spencer,KY",20204
"Taylor,KY",26407
"Todd,KY",12404
"Trigg,KY",14332
"Trimble,KY",8539
"Union,KY",12961
"Warren,KY",139843
"Washington,KY",12061
"Wayne,KY",19681
"Webster,KY",12726
"Whitley,KY",36873
"Wolfe,KY",6400
"Woodford,KY",27062
"Acadia Parish,LA",56744
"Allen Parish,LA",22320
"Ascension Parish,LA",130458
"Assumption Parish,LA",20604
"Avoyelles Parish,LA",38751
"Beauregard Parish,LA",36570
"Bienville Parish,LA",12641
"Bossier Parish,LA",129276
"Caddo Parish,LA",229025
"Calcasieu Parish,LA",202418
"Caldwell Parish,LA",9554
"Cameron Parish,LA",4902
"Catahoula Parish,LA",8566
"Claiborne Parish,LA",13744
"Concordia Parish,LA",18116
"De Soto Parish,LA",26853
"East Baton Rouge Parish,LA",450544
"East Carroll Parish,LA",6990
